paper_id,human_analysis_id,human_uid,codebot_analysis_id,codebot_uid,link_type,confidence,rationale,retrieval_best_cosine,codebot_brief_description
anvari_2023,A10,anvari_2023::A10,8,anvari_2023::8,exact,0.97,"The human bundle describes Welch t-tests on negative affect change scores between anchor-before and anchor-after groups in the full sample, plus the construction of NA means and change scores and the reported t, p, CI, and d. Candidate 31 is precisely the Welch t-test on NA_change by Anchor.Position with the same full-sample context and associated effect size computation, matching all components of the human MODEL, VARIABLES, TRANSFORM, and INFERENCE sections.",0.647044284292933,"Welch independent-samples t-test comparing negative affect change scores (Time 2 – Time 1) between participants who saw the anchor items before versus after the PANAS, using the full sample."
anvari_2023,A11,anvari_2023::A11,9,anvari_2023::9,exact,0.97,"The human bundle describes the correlation between positive affect change scores and the positive affect anchor, including how change scores are constructed, which matches Candidate 1’s analysis of PA_change vs AnchorPA and its surrounding transformations and inferences. The bundle does not extend beyond what Candidate 1 covers, so the match is exact.",0.5585320749395233,"Correlation between positive affect anchor responses and positive affect change scores (Time 2 – Time 1), across the full sample."
anvari_2023,A12,anvari_2023::A12,10,anvari_2023::10,exact,0.97,"The human bundle describes the correlation between negative affect change scores and the negative affect anchor, including its role in validity and the use of cor.test with default 95% CI; Candidate 1 matches this exact analysis (cor.test(data$NA_change, data$AnchorNA)) and the same manuscript passage, including the broader context of computing NA change scores.",0.6515301476257387,"Correlation between negative affect anchor responses and negative affect change scores (Time 2 – Time 1), across the full sample."
anvari_2023,A2,anvari_2023::A2,1,anvari_2023::1,exact,0.97,"Both the human bundle and Candidate 1 describe the same Welch independent-samples t-test on positive affect change scores between anchor-before vs anchor-after groups, restricted to participants answering 'a little more positive', including the same variables, transformation, and inference details.",0.6856996413223717,"Welch independent-samples t-test comparing mean positive affect change scores (Time 2 – Time 1 PANAS positive mean scores) between participants who saw the anchor item before versus after the PANAS, among those who answered “a little more positive” on the positive anchor item."
anvari_2023,A21,anvari_2023::A21,19,anvari_2023::19,exact,0.97,"The human bundle describes linear regressions of change, Time 1, and Time 2 scores on anchor response, anchor position, and their interaction, and specifically includes the PA_change ~ AnchorPA*Anchor.Position model and the PA_change construction. Candidate 8 covers exactly this regression (m.2 = lm(PA_change ~ AnchorPA*Anchor.Position, data=data)) and the associated PA mean and change-score computations from the same script and manuscript passage.",0.5263831365730345,"Linear regression testing whether anchor position (before vs after) moderates the relation between positive affect anchor responses and positive affect change scores; predictors are positive anchor responses, anchor position, and their interaction; DV is positive affect change score."
anvari_2023,A4,anvari_2023::A4,2,anvari_2023::2,exact,0.97,"The human bundle describes the Welch t-test and Cohen's d for negative affect change among participants who answered 'a little less negative' comparing anchor-before vs anchor-after, which matches Candidate 9's description and code exactly, including the same subgrouping, outcome (NA_change), test type, and effect size computation.",0.6684598009600038,"Welch independent-samples t-test comparing mean negative affect change scores between participants who saw the anchor item before versus after the PANAS, among those who answered “a little less negative” on the negative anchor item."
anvari_2023,A5,anvari_2023::A5,3,anvari_2023::3,exact,0.97,"Both the human and CodeBot bundles describe the same Welch independent-samples t-test on NA change scores for participants endorsing 'a little more negative' (AnchorNA==4), comparing anchor-before vs anchor-after, including the reported effect size d = 0.24.",0.7553774389187728,"Welch independent-samples t-test comparing mean negative affect change scores between participants who saw the anchor item before versus after the PANAS, among those who answered “a little more negative” on the negative anchor item."
anvari_2023,A7,anvari_2023::A7,5,anvari_2023::5,exact,0.97,"The human bundle describes Welch t-tests on Time 2 positive affect ratings and corresponding effect size d using the full sample without subcategorization, matching Candidate 28’s before-vs-after Time 2 PANAS_PA_D2mean t-test and cohen.d analysis exactly in variables, sample, and purpose.",0.6088013507052573,"Welch independent-samples t-test comparing Time 2 mean positive affect PANAS scores between participants who saw the anchor items before versus after the PANAS, using the full sample."
anvari_2023,A13,anvari_2023::A13,11,anvari_2023::11,exact,0.96,"The human bundle describes the correlation between the positive affect anchor and Time 2 positive affect scores, implemented via cor.test(data$PANAS_PA_D2mean, data$AnchorPA); Candidate 1 covers this same full-sample correlation and includes the same code and manuscript sentence, so it is an exact match.",0.5203752688377373,"Correlation between positive affect anchor responses and Time 2 positive affect PANAS mean scores, across the full sample."
anvari_2023,A14,anvari_2023::A14,12,anvari_2023::12,exact,0.96,"The human bundle describes the correlation between the negative affect anchor and Time 2 negative affect scores, implemented via cor.test(data$PANAS_NA_D2mean, data$AnchorNA); Candidate 1 is precisely this full-sample NA-anchor vs Time 2 NA PANAS correlation, including the same code and manuscript sentence.",0.5050068564912973,"Correlation between negative affect anchor responses and Time 2 negative affect PANAS mean scores, across the full sample."
anvari_2023,A17,anvari_2023::A17,13,anvari_2023::13,exact,0.96,"The human bundle focuses on the correlation between the positive affect anchor and Time 1 positive affect mean scores (PANAS_PA_D1mean vs AnchorPA) and the construction of that Time 1 mean, which matches Candidate 1’s description and code exactly for the full-sample PA anchor–Time 1 PA correlation and its computation.",0.3744928377763719,"Correlation between positive affect anchor responses and Time 1 positive affect PANAS mean scores, across the full sample."
anvari_2023,A18,anvari_2023::A18,14,anvari_2023::14,exact,0.96,"The human bundle focuses on the correlation between the negative affect anchor and Time 1 negative affect PANAS mean scores and its reported weakness; Candidate 5 describes exactly this full-sample correlation and includes the same cor.test(data$PANAS_NA_D1mean, data$AnchorNA) along with the surrounding interpretation about weaker Time 1 correlations.",0.5107496058565172,"Correlation between negative affect anchor responses and Time 1 negative affect PANAS mean scores, across the full sample."
anvari_2023,A23,anvari_2023::A23,21,anvari_2023::21,exact,0.96,"The human bundle describes linear regressions of Time 1, Time 2, and change scores on anchor responses, anchor position, and their interaction, and specifically cites the model m.6 = lm(PANAS_PA_D1mean ~ AnchorPA*Anchor.Position, data=data). Candidate 11 is exactly this Time 1 positive affect regression with the same model, variables, and manuscript text, so the match is exact rather than a fragment or composite.",0.4609222712047628,"Linear regression testing whether anchor position moderates the relation between positive affect anchor responses and Time 1 positive affect PANAS scores; predictors are positive anchor responses, anchor position, and their interaction; DV is Time 1 positive affect."
anvari_2023,A24,anvari_2023::A24,24,anvari_2023::24,exact,0.96,"The human bundle describes linear regressions of PANAS negative affect Time 1 scores on anchor responses, anchor position, and their interaction, and references the specific model m.12; Candidate 13 is precisely this lm(PANAS_NA_D1mean ~ AnchorNA*Anchor.Position) analysis with matching manuscript text and variables.",0.56851464958792,"Linear regression testing whether anchor position moderates the relation between negative affect anchor responses and Time 1 negative affect PANAS scores; predictors are negative anchor responses, anchor position, and their interaction; DV is Time 1 negative affect."
anvari_2023,A25,anvari_2023::A25,20,anvari_2023::20,exact,0.96,"The human bundle describes linear regressions of Time 2, Time 1, and change scores on anchor responses, anchor position, and their interaction, and shows the specific model m.4 = lm(PANAS_PA_D2mean ~ AnchorPA*Anchor.Position, plus the PA mean-score computation. Candidate 10 is precisely the CodeBot analysis for that same Time 2 positive affect regression and associated PANAS_PA_D2mean/PA_change transformations, so this is an exact match rather than a fragment or composite.",0.5074945781970184,"Linear regression testing whether anchor position moderates the relation between positive affect anchor responses and Time 2 positive affect PANAS scores; predictors are positive anchor responses, anchor position, and their interaction; DV is Time 2 positive affect."
anvari_2023,A26,anvari_2023::A26,23,anvari_2023::23,exact,0.96,"The human bundle centers on the linear regression m.10 = lm(PANAS_NA_D2mean ~ AnchorNA*Anchor.Position, data=data) and the construction of PANAS_NA_D2mean, exactly matching Candidate 12’s description of this model, variables, and transformations; the broader manuscript text about regressing change, Time 2, and Time 1 scores is also captured in Candidate 12’s combined text.",0.5093327909401602,"Linear regression testing whether anchor position moderates the relation between negative affect anchor responses and Time 2 negative affect PANAS scores; predictors are negative anchor responses, anchor position, and their interaction; DV is Time 2 negative affect."
anvari_2023,A6,anvari_2023::A6,4,anvari_2023::4,exact,0.96,"The human bundle describes Welch t-tests and Cohen’s d for negative affect change scores comparing anchor-before vs anchor-after among those answering “the same,” which matches Candidate 27’s description and code (AnchorNA==3, NA_change, Welch t-test and cohen.d). The bundle’s MODEL, VARIABLES, TRANSFORM, and INFERENCE components are all encompassed within this single CodeBot analysis rather than spanning multiple distinct analyses.",0.6367246238940433,"Welch independent-samples t-test comparing mean negative affect change scores between participants who saw the anchor item before versus after the PANAS, among those who answered “the same” on the negative anchor item."
anvari_2023,A8,anvari_2023::A8,7,anvari_2023::7,exact,0.96,"The human bundle describes Welch t-tests and effect sizes for Time 2 negative affect and change scores without subgroups, matching Candidate 1’s before-vs-after Time 2 negative affect t-test on the full sample and associated Cohen’s d; the included variable and transform snippets are also encompassed in Candidate 1’s combined analysis description.",0.6037908121659127,"Welch independent-samples t-test comparing Time 2 mean negative affect PANAS scores between participants who saw the anchor items before versus after the PANAS, using the full sample."
anvari_2023,A9,anvari_2023::A9,6,anvari_2023::6,exact,0.96,"The human bundle describes Welch t-tests on positive affect Time 2 means and change scores across anchor position, using the full sample, and reports t(898.40)=1.07, d=0.07. Candidate 29 is precisely the Welch independent-samples t-test on PA_change (Time 2 – Time 1) between Anchor Before vs After in the full sample, including the same transformation and inference details, so this is an exact match rather than a fragment or composite.",0.5076751550918249,"Welch independent-samples t-test comparing positive affect change scores (Time 2 – Time 1) between participants who saw the anchor items before versus after the PANAS, using the full sample."
anvari_2023,A15,anvari_2023::A15,25,anvari_2023::25,exact,0.9,"The human bundle discusses comparing the anchor’s correlation with change scores versus Time 2 scores for both positive and negative affect, including that for negative affect the anchor-change correlation is not stronger than the anchor–Time 2 correlation. Candidate 14 includes the NA_change and PANAS_NA_D2mean correlations with AnchorNA and the cocor tests directly comparing these correlations, matching this inference exactly.",0.16841210609436197,"Correlation between positive affect anchor responses and positive affect change scores (Time 2 – Time 1), for participants who saw the anchor before the PANAS at Time 2."
anvari_2023,nan,anvari_2023::nan,16,anvari_2023::16,fragment_of,0.78,"The human bundle discusses the strong correlation between Time 1 and Time 2 PANAS ratings (rPA and rNA), and the linked code computes correlations between Time 1 and Time 2 PANAS mean scores. Candidate 7 directly captures this Time 1–Time 2 correlation computation, though the human bundle also references positive affect, so it is best treated as a fragment of the broader CodeBot analysis.",0.3285690278900371,Correlation between Time 1 and Time 2 negative affect PANAS mean scores.
anvari_2023,A1,anvari_2023::A1,,,no_match,0.0,"Both bundles describe the same Welch independent-samples t-test on positive affect change scores comparing anchor-before vs anchor-after groups, but the human bundle focuses on the subset who answered 'a little less positive' (AnchorPA==2), whereas the CodeBot candidate is for 'a little more positive' (AnchorPA==4) within the same broader analysis pattern. Thus it is a fragment of that broader CodeBot analysis family rather than an exact match to any listed candidate.",,
anvari_2023,A16,anvari_2023::A16,,,no_match,0.0,"The human bundle describes comparing the anchor’s correlation with negative affect change scores versus Time 2 scores (using cocor) and also includes the construction of NA means and change scores; Candidate 1 only covers the Time 2 correlation, whereas Candidate 2’s INFERENCE block explicitly includes both the NA_change and PANAS_NA_D2mean correlations plus the cocor comparison, matching the described analysis but also encompassing additional related correlations, so it is the best match and the human bundle maps onto a subset of that broader analysis.",,
anvari_2023,A19,anvari_2023::A19,,,no_match,0.0,"The human bundle describes a multiple regression of anchor responses on Time 1 and Time 2 ratings, and the code shows lm(AnchorPA ~ PANAS_PA_D1mean + PANAS_PA_D2mean). Candidate 11 covers the family of regression analyses linking anchor responses, PANAS scores, and anchor position, including related models with PANAS_PA_D1mean and PANAS_PA_D2mean, so the human snippet is a fragment of that broader CodeBot analysis.",,
anvari_2023,A20,anvari_2023::A20,,,no_match,0.0,"The human bundle describes a multiple regression of anchor responses on both Time 1 and Time 2 negative affect scores (AnchorNA ~ PANAS_NA_D1mean + PANAS_NA_D2mean), whereas all CodeBot candidates concern correlations, t-tests, or regressions involving anchor position interactions. None models anchor responses as the dependent variable with both Time 1 and Time 2 scores as simultaneous predictors, so there is no suitable match.",,
anvari_2023,A22,anvari_2023::A22,,,no_match,0.0,"The human bundle focuses on the linear regression of negative affect change scores on anchor responses, anchor position, and their interaction (m.8: NA_change ~ AnchorNA*Anchor.Position). Candidate 12 describes the same family of moderation regressions testing anchor position effects on negative affect validity correlations, and the manuscript text it cites matches the human-described analysis; the human bundle is one specific model within this broader CodeBot analysis.",,
anvari_2023,A3,anvari_2023::A3,,,no_match,0.0,"The human bundle focuses on a Welch independent-samples t-test comparing positive affect change scores between anchor-before and anchor-after groups, specifically for participants who answered 'the same' on the positive anchor. Candidate 29 is the closest matching CodeBot analysis, as it also describes a Welch independent-samples t-test on positive affect change scores before vs after, but for the full sample rather than the 'same' subgroup, so the human bundle is a fragment of this broader analysis family.",,
